Patient.ID,Fraction of genome altered
21017,0.227709610778159
21020,0.00174397056663176
21510,0.0732317232952986
22171,0.00239626322427994
26731,0.150121470737017
PRAD-STID7520-Tumor-SM-2RXM6,0.206763469460587
7951,0.221337881504513
12728,0.130364027274528
24852,0.141609815272519
24854,0.277824712672975
PRAD-A0001-Tumor-SM-3VG6Y,0.69390376456573
PRAD-STID0000004240-Tumor-SM-S932,0.378177704261796
PRAD-STID18248-Tumor-SM-1RCU7,0.590379114639451
24290,0.380548626046877
MO_1124,0.419775701186951
PROS10448-1115157-SM-5EEBO,0.38307559241235
MO_1074,0.194077339759522
MO_1094,0.309754869999596
MO_1096,0.318991935623478
MO_1130,0.10648345150641
MO_1132,0.034899965670231
MO_1139,0.0508506465955307
MO_1179,0.170850240062122
MO_1219,0.141076692863728
MO_1277,0.358345614484567
MO_1421,0.275537580195969
MO_1473,0.531016488703363
PRAD-01115245-SM-6WZF3,0.08794213231499
PRAD-01115249-SM-6VZ7K,0.518672756696451
PRAD-01115257-SM-6WZF8,0.608342735322953
PRAD-01115263-SM-6WZF9,0.18618015503177
PRAD-01115264-SM-6WZFA,0.430375546025334
PRAD-01115265-SM-6WZFB,0.0923712116167352
PRAD-01115284-SM-6WZF6,0.335860777735133
PRAD-01115343-SM-6VZ7N,0.226210500507451
PRAD-01115349-SM-6VZ7M,0.00256113485574085
PROS01448-1115183-SM-5SGU3,0.343685066075124
PROS01448-1115200-SM-5SGU4,0.0208775251665195
PROS01448-1115244-SM-5SGU6,0.245233333643506
PROS10448-1115126-SM-5EEBI,0.00171584027481855
PROS10448-1115150-SM-5EEBK,0.00140850619975135
SC_9002,0.00274149528534294
SC_9004,0.423327211246601
SC_9018,0.0163102571687622
SC_9019,0.141117992522277
SC_9023,0.552845053576573
SC_9025,0.0028607895568688
SC_9026,0.36171472108201
SC_9027,0.454864960795025
SC_9034,0.0488858406658215
SC_9040,0.0220747289498256
SC_9043,0.29932710690743
SC_9047,0.0695117005340969
SC_9048,0.204219710131516
SC_9049,0.17415128031589
SC_9056,0.121960314430728
SC_9061,0.549900956769659
SC_9065,0.116098032175508
SC_9071,0.313416118411615
SC_9072,0.518518802444829
SC_9075,0.00744071843153938
SC_9079,0.0219296609936513
SC_9082,0.18348901075276
SC_9083,0.597355600249742
SC_9085,0.00491282174261092
SC_9086,0.39922211293923
SC_9087,0.0133037943019543
SC_9088,0.00439989328910992
SC_9090,0.272156059353217
SC_9091,0.073748956293918
SC_9092,0.308711415204302
SC_9094,0.47202936540408
SC_9096,0.55834823176253
SC_9100,0.0443563762731264
SC_9103,0.464168757050548
SC_9114,0.043152821661213
SC_9121,0.40299378708973
SC_9127,0.00453806975201477
SC_9128,0.0074994505701056
SC_9134,0.0139762015001528
SC_9136,0.170742358937279
SC_9137,0.22119900912201
SC_9144,0.267736757609204
SC_9150,0.318701629557767
SC_9151,0.208527985724687
SC_9158,0.641366577729539
SC_9171,0.219929648802458
SC_9172,0.22746733705862
SC_9173,0.475908075034577
SI_9157,0.12924765500917
TP_2020,0.174379862605197
TP_2034,0.252316099481147
TP_2079,0.353664422683184
MO_1232,0.588346269851307
MO_1008,0.428870388594222
SC_9139,0.00975366806488239
MO_1020,0.347228575847244
MO_1118,0.254332420365497
MO_1161,0.453853961267482
MO_1184,0.327968390983966
MO_1202,0.601235011397612
MO_1241,0.538843032074542
MO_1244,0.470616105320806
MO_1337,0.281629387543435
MO_1410,0.482548957876347
MO_1460,0.438038653510791
SC_9001,0.31015798969981
SC_9008,0.220210633256163
SC_9012,0.174667066272315
SC_9017,0.830310380302552
SC_9031,0.33667651382864
SC_9046,0.179680467005936
SC_9060,0.351480264895919
SC_9107,0.667435476889654
SC_9140,0.405910731947029
SC_9145,0.312009659579304
SC_9153,0.532487806352881
SC_9162,0.603232316218924
SC_9006,0.0270523952086084
MO_1013,0.518277744770729
MO_1014,0.49582594883512
MO_1015,0.677699743237704
MO_1040,0.135023986193379
MO_1084,0.538182531369532
MO_1105,0.0521657565173591
MO_1114,0.668182352829774
MO_1128,0.331701223791033
MO_1176,0.255562235150895
MO_1192,0.26432049922747
MO_1249,0.359249540098815
MO_1262,0.0962347793331742
MO_1316,0.212898149688678
MO_1339,0.66533537013811
MO_1447,0.466349876761368
