genes
NUTM2A
NUTM2B
OLIG2
OMD
P2RY8
PABPC1
PAFAH1B2
PALB2
PAX3
PAX5
PAX7
PAX8
PBRM1
PBX1
PCBP1
PCM1
PDCD1LG2
PDE4DIP
PDGFB
PDGFRA
PDGFRB
PER1
PHF6
PHOX2B
PICALM
PIK3CA
PIK3CB
PIK3R1
PIM1
PLAG1
PLCG1
PML
PMS1
PMS2
POLD1
POLE
POLG
POLQ
POT1
POU2AF1
POU5F1
PPARG
PPFIBP1
PPM1D
PPP2R1A
PPP6C
PRCC
PRDM1
PRDM16
PRDM2
PREX2
PRF1
PRKACA
PRKAR1A
PRKCB
PRPF40B
PRRX1
PSIP1
PTCH1
PTEN
PTK6
PTPN11
PTPN13
PTPN6
PTPRB
PTPRC
PTPRD
PTPRK
PTPRT
PWWP2A
QKI
RABEP1
RAC1
RAD17
RAD21
RAD51B
RAF1
RALGDS
RANBP2
RAP1GDS1
RARA
RB1
RBM10
RBM15
RECQL4
REL
RET
RFWD3
RGPD3
RGS7
RHOA
RHOH
RMI2
RNF213
RNF43
ROBO2
ROS1
RPL10
RPL22
RPL5
RPN1
RSPO2
RSPO3
RUNDC2A
RUNX1
RUNX1T1
S100A7
SALL4
SBDS
SDC4
SDHA
SDHAF2
SDHB
SDHC
SDHD
5-Sep
6-Sep
9-Sep
SET
SETBP1
SETD1B
SETD2
SETDB1
SF3B1
SFPQ
SFRP4
SGK1
SH2B3
SH3GL1
SIRPA
SIX1
SIX2
SKI
SLC34A2
SLC45A3
SMAD2
SMAD3
SMAD4
SMARCA4
SMARCB1
SMARCD1
SMARCE1
SMC1A
SMO
SND1
SOCS1
SOX2
SOX21
SPECC1
SPEN
SPOP
SRC
SRGAP3
SRSF2
SRSF3
SS18
SS18L1
SSX1
SSX2
SSX4
STAG1
STAG2
STAT3
STAT5B
STAT6
STIL
STK11
STRN
SUFU
SUZ12
SYK
TAF15
TAL1
TAL2
TBL1XR1
TBX3
TCEA1
TCF12
TCF3
TCF7L2
TCL1A
TEC
TERT
TET1
TET2
TFE3
TFEB
TFG
TFPT
TFRC
TGFBR2
THRAP3
TLX1
TLX3
TMEM127
TMPRSS2
TNC
TNFAIP3
TNFRSF14
TNFRSF17
TOP1
TP53
TP63
TPM3
TPM4
TPR
TRA
TRAF7
TRB
TRD
TRIM24
TRIM27
TRIM33
TRIP11
TRRAP
TSC1
TSC2
TSHR
U2AF1
UBR5
USP44
USP6
USP8
VAV1
VHL
VTI1A
WAS
WHSC1
WHSC1L1
WIF1
WNK2
WRN
WT1
WWTR1
XPA
XPC
XPO1
YWHAE
ZBTB16
ZCCHC8
ZEB1
ZFHX3
ZMYM3
ZNF198
ZNF278
ZNF331
ZNF384
ZNF429
ZNF479
ZNF521
ZNRF3
ZRSR2
PIK3CA
TP53
CDH1
GATA3
RUNX1
MLL3
MAP2K4
CBFB
MAP3K1
CDKN1B
PTEN
ARID1A
RB1
RBMX
GPS2
FOXA1
BAX
TBX3
NF1
MAPRE3
NOTCH2
NCOR1
SPEN
ESR1
FNDC4
C9orf43
CTCF
ACTL6B
AKT1
TAF1B
KRAS
KRTAP5-1
PLK2
POM121
POLR2J
C20orf112
TET3
SH3PXD2A
PTHLH
ELAVL3
VEZF1
FRG1
GLYR1
C12orf51
CDH24
TARBP2
PSIP1
RAB42
PLA2G15
CAMTA2
NRXN2
RGL2
THEM5
TBL1XR1
LRP4
MYB
GNAZ
FLT3LG
SF3B1
INPPL1
OR6C76
AQP12A
ZFP36L1
ATP2A1
SF3B4
ERBB2
KDM6A
MAP4K1
JPH4
STAG1
ZMYM3
AKT2
U2AF2
RAB40C
CDC42EP1
SHISA4
CDK12
ATN1
HRNR
DDX27
SMAD4
ANKRD12
NBPF9
MOSC1
PHLDA1
KCNN3
TPSAB1
PHACTR1
CD300LG
FRMPD2
LOC388946
EIF4G3
AXL
USP35
PLTP
KIFC1
RPGR
PTH2
C1QTNF5
MST1
LRIG2
TCP11
WDTC1
HERC1
CRYGA
CRIPAK
SPEF2
FXYD5
FBXW7
CNOT3
CASZ1
HMGXB4
PAX2
RIBC1
ALDH1L1
L3MBTL
PPP2R5D
STAG2
PIK3R1
ZNF362
RPS6KA1
KIAA0913
FAM83G
MBD6
TFE3
NUP93
DDB1
COL8A1
CUL7
USP36
CECR1
WNT9A
GAL3ST1
HLA-B
OR8D1
FLNB
PIP4K2C
POLI
FAM111B
RHBG
TYRP1
FAM98C
MUC12
HS6ST1
NIN
NBPF10
MUC6
ICOSLG
PER3
PAPOLA
CIC
SSRP1
MYH9
ERBB3
ITPKB
SYNCRIP
TPP2
E2F4
CNPY3
TCTN1
IBSP
TRPV2
LARP1
WNK1
ANKRD20A4
PCDHGB2
ACOT2
KIAA0195
RHOA
ARHGEF15
ZC3H18
RUFY1
TMEM120B
PARP4
SLC4A3
OR11H1
GPRIN2
BMP1
LTBP2
CCDC82
ZFP64
ACTG1
RPL22
DND1
ATM
HIPK1
SIGLEC7
FBXW10
GPR32
SLC4A11
FGFR2
TSC22D1
UBN2
C11orf49
GLDC
CNN2
HIST1H3B
HCRT
C2orf47
COL9A2
TTPAL
PPARG
ZNF672
GJA8
FAM49B
LRRC37A3
P2RX2
ASXL2
BZRAP1
PARVG
CDKN2A
SBF1
FAM104A
RCC1
MLL
CD3E
MATN4
MED23
OR2T2
NIPAL4
HPS3
ZNF687
FABP1
CCNL2
ALDH3A1
CD244
ATP1A1
GFPT2
HNRNPA2B1
MGA
PFKP
KIAA0226
ATP11A
ARHGAP5
DLG1
B4GALNT1
PLEKHH3
MYL5
PPY
RFX3
SRM
GPATCH4
SMTN
SP3
ANXA11
BPHL
EPDR1
PTPRF
LIFR
LOC401387
LOXL3
ADRBK1
TGS1
SDC1
NLRP2
SEC14L5
IRS4
SETD1B
NKTR
AQP12B
PTCH2
TYK2
TMEM97
LAMB3
PRPF19
MKL1
CA11
GIMAP8
PKD1L2
TTC39A
KRTAP4-5
ANKRD22
KIAA0430
APC
ZMIZ1
JAK1
METTL7B
DOCK11
SMARCC2
OR2T35
SREBF1
RMND5B
ABR
EIF4ENIF1
GNPTAB
CCDC21
GTF2IRD2
RSL1D1
ZBTB7C
SUPT6H
ANGPTL6
C20orf132
H2BFWT
KIFC3
CENPC1
IFI44
MSH3
C3orf70
ECE1
MPZL1
FLAD1
OXCT2
TSC1
KRTAP4-7
KCNA7
GOLGA6L6
HCFC2
SLC26A9
CCDC135
ALS2CR8
PUM2
NASP
RBM8A
MASP1
ZNF660
DYSF
FAM123C
WTAP
GALNTL6
ARHGAP35
ZC3H4
CCAR1
ZCCHC6
THAP7
KEAP1
C20orf186
OR4D10
COL4A5
EXOC6
C17orf95
RAB11A
ATF6
SPDYE2
ZNF782
CHD4
OBFC2B
SEC61A2
SHC1
C14orf115
SNX16
KIAA1211
ZNF689
ZNF76
TFDP1
CABYR
RPS5
LAMB1
CBLC
OR2T8
MTM1
SRGAP2
BBX
HDAC1
NIPBL
SLTM
KLHL34
STK17B
ZNF397
TNS1
TMBIM4
LIMK2
COL11A2
NCOA6
ZNF75D
SEMA6D
RBBP7
OR52N2
RARS2
PNCK
KMO
NOSTRIN
C9orf37
ZNF831
XPOT
ZMYM4
SIK3
C3orf59
SNX18
TRAFD1
EWSR1
AGTPBP1
KIAA1191
ILF3
UROD
BRCA2
PRICKLE3
SMTNL2
BYSL
ANGPT4
DNASE1L3
FSHR
PAX5
SERTAD3
CDC5L
TP53BP1
SLC7A9
SARM1
CA5B
CA14
RBM15B
COPG
KRTAP10-9
TMIGD2
KIDINS220
MLC1
PON3
EXOC4
PPP2R5C
AMOTL2
CBX2
ZKSCAN1
C2orf62
IRF9
CEP57
EYS
SLC31A2
ZCCHC11
DNAH17
THOC1
F12
EP300
BCORL1
CD180
GFAP
PCBP2
LRRN2
C14orf43
OR4D2
OSM
BAT3
INTS9
FAM91A1
TSSK1B
ZNF69
ACAP2
RAD54B
MARK2
FAM113A
TINAG
C16orf5
CCT8
PLOD3
MUC20
C20orf85
PALB2
DIAPH1
ELL3
ONECUT2
MLLT4
SPN
VRK2
FXYD3
PPP2CA
USP42
KIF20B
GNL3L
TRMT2A
RSPH6A
KIF3C
NHLRC2
POMT2
FARSB
CDC42BPA
SMAD2
MYL1
PKDREJ
RDH11
CSPG4
OSBPL3
PSMA7
EDNRA
MLH1
COL4A3BP
FAF2
CLN3
ZMYND8
CTSL1
CTH
MORN4
RNF43
CCR7
PDGFRB
ACVR2A
ZBED5
C12orf63
GOLGA6D
TSKS
GTF3C3
ARPC5L
MAN2A2
MLLT10
GIPC3
ETV5
GDAP1
AKIRIN1
PPIL2
OR14C36
OBP2B
PEX6
TP53BP2
CPAMD8
PCDH1
GIMAP4
BMPR2
FAM131B
C14orf180
PRDX5
WDR44
ALDH2
ZNF618
TYW3
BCL11B
PNN
KBTBD6
QTRTD1
VILL
VPRBP
PLXNA3
HDAC5
ETV4
STC2
LYSMD1
IRS1
C4orf7
CHRM1
ZNF207
EEA1
CCDC102B
NANOS3
KIAA0196
YIPF4
ADAM19
FCRL2
HRAS
KLF15
MFRP
PPP3R1
LCA5L
GORAB
C1orf31
TNRC6B
CATSPER2
DCST1
KCNB2
RNF111
HRCT1
ACTB
LCT
PRKRIR
MAMLD1
DFFA
MBNL1
MAMDC2
CERKL
MYLK3
AP2A1
ZFP36L2
CCDC47
BCL7C
SUPT5H
AP4M1
GYLTL1B
LRRC16B
FANCG
EMILIN1
DHDPSL
EHD2
CYP3A4
ELOVL5
ZNF334
CAST
SIRT7
FCRL5
HIST3H3
LRP1
COL20A1
PLSCR3
RBM39
CEACAM18
CLCNKB
PHF15
NR3C1
GPAT2
SCRN2
PIWIL1
DAB1
EIF4A2
ZFP91
C4orf17
TXNDC2
INADL
C10orf81
PLCG1
PGC
FITM2
KCND1
DRD1
PLXNA1
WDR55
DKC1
RUNDC3A
ACLY
EMR2
MYH6
SETDB1
KRT18
CEP164
CYP2D6
NUMA1
WWP2
ATP6V1B1
SHOC2
C1orf130
HIST1H2BC
ARID2
EMR3
CACNA1H
TBC1D21
SETX
TSPAN11
ARID4B
C19orf40
ASH1L
TM4SF19
MARCH7
CCDC23
PSMD3
C3
DNAH12
METT5D1
CIRBP
TPST2
C8orf79
MYO5B
POU4F1
CDYL
AHDC1
HSPG2
STOX1
APP
SVIL
SPRY1
PC
MTHFD1
TRPC7
NAA50
ROM1
C15orf59
FAM58A
NHS
FGD3
LRRC37A2
TSPAN5
C1orf85
GPR174
STAB2
PGF
DTX2
TPCN1
IFT74
ABCG4
PMEPA1
KCTD19
ZNF268
PRPF4B
RERE
EGR1
FANCB
NRCAM
OR6A2
A2M
ZBTB24
PF4V1
CD1E
REXO1
ETS2
GIP
DNAJC13
PARP3
COLEC11
TYRO3
CLEC10A
TSPYL4
NKX2-8
TNFAIP8L3
FAM26D
TBC1D19
NBN
GTF3C1
ATG2B
TBC1D12
OPTN
GALNT13
GDPD4
LARP4B
CCNB1
SF3B14
SYNM
RNF182
DAZAP1
TNKS2
HMBS
BEND3
PAGE1
CDC6
DALRD3
SYT2
FZD3
SERPINB3
EGFR
NPAS4
BRE
RRAS2
DNAJC9
RNF149
RIC8A
PARVA
STAB1
TAS2R43
CORO6
PFKM
SCML2
MAP3K12
METT11D1
LCE1C
LARP7
FAM189B
SLC36A2
BRCA1
ACVR1B
AGL
ADAMTS13
DNAH2
MAST1
MRM1
TCF7L2
SNRNP25
SFRS11
PCMTD2
LMAN1
MYH11
MYOCD
TPD52
NRAP
PLCL2
GABPB2
C5orf33
ITGA5
GNLY
VPS13D
PPM1F
CRHBP
TMEM68
UGT1A4
AGT
KLRAQ1
SOX10
TCP10L2
ARHGEF5
IL18
PHLDB2
ZNF746
KRT78
HAUS7
CD69
SPAG11B
SLC16A1
STAT6
PROM1
TET2
CLMN
DGKG
SAMD14
MC4R
TNFRSF1A
KRTAP9-4
SLC4A9
SERPINE2
OR4F17
HEY2
KBTBD4
ALOXE3
CXCL6
FER1L6
ALDH3A2
ORC2L
RPE65
POLR2B
DDX49
OR52K1
VAC14
PODXL2
VWF
TTC23L
ZBED4
PLIN2
C2CD3
ARL17A
GPR55
CRAT
FGFR3
GAPVD1
KATNAL2
PPP1R15B
EML4
SNAP25
RAB9B
PCDH10
GBGT1
RHEBL1
VANGL2
BTNL2
ZNF652
INTS4
IGSF9
ALDH1A3
MLPH
PKN3
ARL8B
FOXP1
SDPR
MTA2
SYBU
AKD1
CD248
CD70
OR6C74
ELMOD1
POTEE
EIF2C1
ABCB11
PTGDS
KCNA6
SPATC1
HORMAD1
SLC27A5
ZNRF4
DFNB31
BATF2
SUPT3H
DEAF1
ADCY7
DOT1L
EXT1
PIP5K1C
ZNF365
HLA-C
ALDH3B2
ART5
ZMIZ2
PIK3CB
C12orf36
MAZ
CLDN6
RBM11
SLC25A32
TTLL3
UBE4B
CC2D1A
PHB
CHN2
RHOBTB3
COL21A1
ABT1
GPR109A
CLU
FBXO24
NCDN
AGRN
C5orf4
NUSAP1
CCNT2
CCNT1
ZNF500
SLC38A4
MGAT5B
ASF1A
GOLGA2
SPTB
C16orf63
PDE4B
PCDH19
STAC
PASK
MED14
OR2B2
PTPRZ1
NCOA7
TRPC1
FAM124B
ANAPC4
CARS2
CNGA2
NECAB2
SMARCD3
PPP2R5B
NT5C3L
ACIN1
KIAA1529
PGBD3
CPSF4
CCDC78
MPI
EDC4
ADD2
F2RL1
PRCC
CALHM2
HERC5
TRIM39
IFNG
CCT6B
FCRLA
PBXIP1
CNKSR2
P2RX7
KIAA0247
LUC7L2
KRT19
SBNO1
ANKDD1A
ZNF330
IL6R
MOGAT3
CRYGD
OR10K1
NKX3-2
NR5A2
FSIP1
ATP13A4
MYH7B
CAD
CLCN6
GPC3
CILP
PTPN22
FAM150A
DDX55
VIT
PRRX1
DYTN
PRB1
LILRA6
LIMK1
C2orf85
C6orf26
POLA2
ZFHX3
PIK3C2G
APBA2
RPL5
OST4
FAM168B
EHMT2
CLIP2
SCAND3
FAM86B1
GPA33
BCS1L
SAMD3
ROBO4
FHL1
IQCD
GAGE12J
ITPR3
TBC1D8
PRPF3
KDM2A
KPNA4
ATP7A
CPSF6
BID
SLC43A3
TNFAIP6
NLGN3
CREB3L3
DERA
KSR1
CLN5
SLC35B2
TRIM55
STX16
CHADL
PLEKHB2
BCO2
MAP4K3
MARS
FOXN1
PRKAG3
NCF2
CEP68
ABCF3
RLN2
SPAG8
ATAD3B
NSFL1C
PVRL2
LIMCH1
FAM107B
CCND3
EPHA3
MAK16
CCDC83
THBS1
CD48
TEX15
DNAJB12
DUSP16
SLC6A9
BCAS1
SCARA5
TRIP13
FAM98A
VCPIP1
GRAMD1A
NEK10
VPS37A
C1orf25
TBC1D10A
POTEB
POLR3E
FDFT1
SERPINE1
NDUFA4
SH3BGR
SLC12A3
DDR2
MEN1
MAPK1
C9orf156
KLRC1
SUV420H1
ALDOA
OR6X1
RIN1
POPDC2
WASF3
C6orf27
COG8
ZNF48
TCF25
METTL3
STARD10
BARX2
HSD17B11
WBP11
CCDC6
NOS1
KDM4D
ELF4
HELZ
TMCC3
PLP1
NT5C3
GH2
MYH7
APEX1
WNT7A
HLA-DPB1
ELOVL6
EYA1
NRBP1
TEAD4
PRB3
SNX5
REEP5
TLR4
HKR1
C6orf35
RAPGEF4
ERLEC1
PDLIM4
PALM
C17orf61
EIF2AK1
CCDC87
POU3F2
RPL18A
CD53
CENPH
C15orf2
C18orf10
CCDC115
GZMK
DDX54
ABCG2
EPPK1
TOMM7
ABCA7
ERCC2
SLC27A4
THPO
OR1L6
CCT6A
MECOM
RNF220
ESRP2
TRIM3
VPS4B
KRTAP9-8
KCNJ4
FNIP2
C1orf122
HSPBAP1
TTC16
NINL
CYP26B1
OSBP2
MMEL1
FAM22D
IL12RB2
TCEA3
SLFN12L
ADAM23
CHD1L
CIAPIN1
SHANK2
OPALIN
ZNF337
IGDCC4
CLIP3
FCHO1
CCDC136
JTB
NR2E1
WDR27
ACSS3
PLCB2
SETD7
PROCR
PDE6A
ZIC2
MR1
TGFBR1
INSL5
GUCY2C
TXNRD1
GALNTL5
TTC21B
PPP1R3C
ANKRD49
PLDN
LRP2
IRAK1BP1
UBXN11
LACE1
KIFC2
KCNK18
TUBGCP4
PRRG3
C20orf12
GTSE1
GPRASP2
ABI1
ZNF527
TPSG1
ZNF25
OR8D4
PRPF38B
CMKLR1
PCNXL2
SSH2
PPM1L
CANX
CYP4B1
PRKAR1A
CCDC74A
TNFAIP3
SNX31
KIAA1257
COBL
TRPV3
RBBP6
ITFG3
NOMO1
SYT11
CFHR3
FAM21A
ZNF582
DGKB
MRPL24
B4GALT1
TTC32
CLEC18B
SLC6A11
APOL2
PBK
TOX4
RB1CC1
SCNN1B
PDE9A
MTMR15
SGIP1
UBOX5
HS3ST1
SLC8A2
OR13C9
BTBD16
CLEC2D
AMELX
COPS6
RBM26
KIF7
SP4
ZNF541
PGCP
ALG6
T
ATP2B1
HSD3B2
DLEC1
MEPCE
RBM44
TSHR
GYG2
XBP1
BCLAF1
SPO11
PACRG
WBP1
CXCR3
MOCS3
SULT1C3
NT5DC3
SF3B3
KIF24
MRPL20
SESN2
LATS2
SUMO1
PSMC6
GMFG
COL4A6
P4HB
ZDHHC11
MAP3K13
FOLH1
BTBD18
PIBF1
AP4E1
PMAIP1
KCNH4
PSMA3
DBNDD2
DDX5
IVD
C2orf43
FAM82A1
IFNA21
CEACAM4
STUB1
FASN
OGDH
FNDC3A
C7orf34
PTPN3
DHX30
TNP1
STXBP3
ZNF573
KCNJ15
COX4NB
BLK
HOXD11
SYNC
ZFAT
TARBP1
SDCCAG8
CHPT1
ARMC8
FBXL2
TMC4
CCDC27
OR13J1
EEF1A1
PHTF2
FASTKD5
OR7D2
ZNF705G
FBXO18
LINGO3
TRIM22
POU2F2
CAPN2
TMEM71
HPD
COMMD2
HOXA1
CEP72
MIER1
MAP3K8
USP12
PLXND1
S100P
C3orf33
SAMD4A
TSGA14
AKAP4
MYH1
RTP2
TAF7L
RAI2
PDCD4
RAB3A
ZC3HC1
LRRC28
DFNA5
C12orf74
SYNJ2
PHF23
ARHGEF7
CD97
ARHGAP25
MORF4L2
IGHMBP2
CRYGC
CIT
NBR1
HIATL1
DAP
MAGEA11
ADPGK
CYP8B1
TPST1
CLEC16A
CLDN10
MXD4
PTH2R
RCOR3
PIK3C2A
TPRX1
MYO5A
LMAN1L
FBXO21
GYG1
DUSP10
KDM4A
PHF3
COL17A1
KRTAP10-12
PREX1
KLRB1
ENPP7
C1orf63
C15orf40
DNAH14
OLFML2B
AGAP6
COL1A2
KRTAP4-8
CAPRIN1
FUT6
NIPAL3
ZNF572
KIAA0427
ZNF454
STMN4
DCAF11
VASH2
ANKRD16
EFHA1
CARNS1
AMZ1
MSMP
MEF2A
EED
ZNF343
PPEF1
SOCS4
ERCC6L
OR10H4
RCBTB1
CCDC99
CFTR
PRKX
CSF3
LRRC41
EPB41L4B
C7
N4BP2L2
CDA
IDUA
CD93
FBXL5
TMEM145
VSTM2B
ACPP
LCMT1
OSBPL11
TSGA13
YIPF1
SELS
ARHGEF33
PLEK
HPS6
PF4
KIAA1644
HSDL2
ARMC1
UBE2CBP
MLL5
TULP4
CHD3
PLOD1
C20orf72
OR52I2
ASB7
TMPRSS6
DLL1
BIRC3
IFIT2
FAM76B
OR2C3
HOXB3
CSNK1A1
TXNL4A
BCMO1
OTOP2
TMEM99
CHRNA10
ACOT4
HEPACAM2
UQCR10
IL33
EFNA1
CACNA1G
HEATR5B
KLC4
AIM1
MAP1B
ZFP106
TUFT1
OR7C1
ALLC
ARSK
FLJ35220
OR2T29
C16orf62
INO80D
FAM164A
TTLL1
RAP2B
TRIM46
TIA1
DNAJC27
IQCC
GOLGA6L10
SLC35C2
KIAA0907
NPC1
MRPS7
TMEM63A
NAMPT
ADAMTSL1
WDR66
SLC22A11
NMT1
AQP10
COL22A1
EXOSC2
ZNF443
MTHFD1L
KIAA0831
HSF5
HOOK3
PHIP
C17orf82
ATXN10
AMZ2
BEST3
TBC1D2
RPP14
ZPLD1
SIN3B
CTNND2
BRAP
UGGT2
CCDC42B
VAMP8
EPM2AIP1
PLAC9
SCN4A
MED15
CCDC18
DKFZp761E198
FAM47B
NAE1
PRRG4
SLC39A1
ZNF642
NLRP11
B4GALT3
CTTNBP2NL
ZCCHC8
LILRB3
BTF3L4
DPT
CD28
MARCKS
LOC402778
C8orf40
MGLL
MSX1
HEXIM1
IKBKE
GRIK5
OBP2A
NR2F2
WIPF1
BCR
RAD51AP2
AKT3
KIAA1377
EHMT1
ADRA2B
SPACA1
CD68
DCAKD
HEG1
DHX32
MCHR1
RALB
TACC3
KLF7
ZNF606
PEX1
ZBTB4
CALB2
CCPG1
KIAA0556
RPTOR
PSG2
PPP2R3C
C9orf163
CEP120
NAA35
PLEKHG7
C16orf42
IFIH1
GPR77
MCOLN2
PTPN5
CSNK1A1L
PHF19
ZFPL1
PPM1K
BAK1
PRUNE
KRT81
TAF5
FAM86B2
PDE10A
MAGEB4
TSPAN2
NEK5
TMEM167A
SCIN
TCP10
FAM102B
VPS13A
NLRC4
FKTN
SYT16
STX3
PEAR1
PDZD2
RAD51C
B4GALNT2
CEP350
ARHGAP4
GLI2
HNF1A
CCL13
MAB21L1
VPS25
HNRNPR
LAMB4
PPP1R9A
ANXA8
MRPL2
TRPM5
MORN1
C14orf174
OR13G1
BTBD7
RNASE9
ZFP41
CD22
CLIP4
KLF4
SOX6
C20orf152
ASB11
CEP290
STRADA
DNM2
TCEAL2
SPRYD5
C1QA
PRIM1
CA9
TRIM4
SP100
TBCD
C14orf106
GALNT7
SKAP1
C5orf22
INPP5F
KIAA1967
NAV2
HCFC1
ZBTB2
CALM2
ERN2
C20orf173
IQCE
MCRS1
TEX14
GRK1
ASB10
KATNB1
FAM194A
FASTKD2
PIK3C2B
OTOF
AMDHD1
RNF144A
INTS8
TFPI2
HEXDC
SAPS3
AFAP1L1
GRIK2
IFI35
SASH3
DUPD1
TMEM155
POLG
ARHGEF1
ATP9A
DGUOK
DCAF6
LINGO4
AZU1
RNF215
ANKRD28
CASP8
SEC16B
GPR107
ABAT
EMILIN2
C10orf27
TNFRSF21
ASTE1
SLC16A12
EPHB3
GTF3C6
C1orf194
LYPD6
ABTB2
ROR2
SNCB
LALBA
LILRA4
POLM
C3orf38
ASPHD2
APLP2
MGAM
MEGF8
TAS2R42
ESF1
IL29
SRGAP1
DGCR2
RAD23B
RGS4
HMGB2
KCNH3
FAM167A
FAS
PGLYRP3
SOX5
NOP2
POPDC3
